,mg C per gram of soil,,
Crop,LF,POM,S/C
Corn,3.140461158,1.082996536,7.926668382
Corn,1.306974077,1.130061495,21.3153402
Corn,1.303888855,1.113997452,8.136736233
Corn,1.443248447,0.897731688,17.14100376
Corn,1.173832898,1.535126421,16.05135126
Corn,1.205300602,0.581780158,9.632937612
Corn,1.196317399,0.81076391,7.394969112
Corn,1.294765068,0.505808253,6.877757544
Miscanthus,2.567462932,1.595428728,21.58294893
Miscanthus,2.0106411,2.797950798,11.16596955
Miscanthus,2.907129989,1.074344049,7.304502782
Miscanthus,1.938288369,2.044358585,14.1567261
Miscanthus,1.909353726,1.410737335,11.51762338
Miscanthus,2.220408409,0.847957151,16.00866614
Miscanthus,2.392824339,1.190831861,14.18829617
Miscanthus,3.193851261,1.668668498,9.871809057